,Z_Rejon,POI,Do_Rejon,Czas_PrT_x,Czas_PuT_x,Czas_PrT_y,Czas_PuT_y
7078,7.0,13.0,23.0,82.39488086026343,91.28011258384771,79.611857072319,87.32111258384771
7079,7.0,13.0,24.0,82.39488086026343,91.28011258384771,79.1331250700565,86.84411258384772
7080,8.0,13.0,1.0,82.37483343189075,91.73311258384771,80.48905595580364,89.45711258384772
7081,8.0,13.0,2.0,82.37483343189075,91.73311258384771,80.05546140426011,88.31511258384771
7082,8.0,13.0,3.0,82.37483343189075,91.73311258384771,79.63230520365514,87.34111258384772
7083,8.0,13.0,4.0,82.37483343189075,91.73311258384771,79.79717157895325,87.50511258384772
7084,8.0,13.0,5.0,82.37483343189075,91.73311258384771,81.65554720728056,91.45411258384772
7085,8.0,13.0,6.0,82.37483343189075,91.73311258384771,79.95825718437133,87.66911258384772
7086,8.0,13.0,7.0,82.37483343189075,91.73311258384771,82.39488086026343,91.15611258384772
7087,8.0,13.0,8.0,82.37483343189075,91.73311258384771,82.37483343189075,91.53411258384772
7088,8.0,13.0,9.0,82.37483343189075,91.73311258384771,82.81282269623665,91.04811258384771
7089,8.0,13.0,10.0,82.37483343189075,91.73311258384771,81.24666007511604,89.5561125838477
7090,8.0,13.0,11.0,82.37483343189075,91.73311258384771,82.82015506269279,90.88011258384772
7091,8.0,13.0,12.0,82.37483343189075,91.73311258384771,82.48166685571556,91.40911258384772
7092,8.0,13.0,13.0,82.37483343189075,91.73311258384771,82.05604708619197,90.13611258384772
7093,8.0,13.0,14.0,82.37483343189075,91.73311258384771,82.10372513551035,90.12511258384771
7094,8.0,13.0,15.0,82.37483343189075,91.73311258384771,81.0848666621005,89.58611258384771
7095,8.0,13.0,16.0,82.37483343189075,91.73311258384771,81.08667055182009,88.79511258384774
7096,8.0,13.0,17.0,82.37483343189075,91.73311258384771,81.89244170960009,89.9251125838477
7097,8.0,13.0,18.0,82.37483343189075,91.73311258384771,81.22296885151775,89.2361125838477
7098,8.0,13.0,19.0,82.37483343189075,91.73311258384771,81.20582150379825,89.05411258384773
7099,8.0,13.0,20.0,82.37483343189075,91.73311258384771,84.13249140357074,86.37111258384772
