i,A_i_C_PT_mean,A_i_C_PT_min,A_i_C_PT_max,A_i_C_PT_std,A_i_C_PT_median,A_i_C_PT_p_25,A_i_C_PT_p_75
475,38.474842,20.007393,88.966385,11.333255,37.341118,29.46877,46.46869
476,38.140476,20.00148,87.43065,11.537026,36.4935,29.065605,45.910904
477,33.933136,20.168076,79.05266,12.012158,31.769424,25.889114,37.04811
478,37.73164,20.003952,86.346245,10.544713,36.979362,29.084606,45.677727
479,32.339832,20.155563,73.13989,11.225526,30.310616,24.026405,35.526783
481,36.261383,20.055756,83.92598,10.590719,34.492825,28.224098,42.99835
482,36.320366,20.0009,78.662575,10.147237,34.716797,28.3465,44.105385
483,36.879467,20.028175,80.19742,10.448082,36.26421,28.194563,44.688164
485,36.124382,20.008873,77.21087,9.964452,34.717205,28.42432,42.893517
486,36.217896,20.02343,71.72395,9.836655,34.8631,28.594425,42.999672
487,37.04335,20.002472,78.16648,10.492577,35.4753,28.847477,44.99281
488,36.62562,20.186745,73.0493,9.911889,36.17255,29.337536,41.877052
490,34.395813,20.086357,68.47992,9.20686,33.22672,28.242455,40.172016
497,33.855885,20.226944,75.562065,8.803058,32.89314,27.76877,38.088005
501,37.308983,20.059235,69.48164,10.354027,35.766247,30.545086,41.374287
503,32.198345,20.066826,63.124695,8.180117,33.05512,26.990246,34.465824
513,40.892994,20.252075,66.98861,10.023801,44.219124,33.567024,47.871216
514,34.063557,20.645088,62.80204,8.016144,35.30325,28.403389,36.713955
516,32.95715,20.501534,70.58591,8.043421,33.14535,27.255589,36.839306
518,42.897274,20.001724,74.64106,11.748011,42.91103,33.708065,51.887
519,40.551357,20.108276,69.229225,11.200773,39.51812,32.34423,48.550297
522,34.177837,20.08503,64.17839,8.207117,35.194588,27.763432,38.143906
524,33.544704,20.001755,65.56908,8.200454,32.854553,27.50188,37.936176
526,32.33183,20.002556,70.130875,8.202386,31.3867,26.015476,36.3435
528,33.75192,20.00814,75.76466,9.06077,31.933182,26.729115,38.631836
529,30.960905,20.0029,77.540596,8.861346,28.354347,24.833012,34.743755
530,34.05054,20.255035,72.18949,7.7749085,33.06793,29.352005,38.91571
531,36.131695,20.000618,72.65322,9.556466,35.34664,28.818197,42.081738
533,32.194115,20.005898,74.7867,8.675819,30.542522,26.24607,35.953835
