i,A_i_C_Car_mean,A_i_C_Car_min,A_i_C_Car_max,A_i_C_Car_std,A_i_C_Car_median,A_i_C_Car_p_25,A_i_C_Car_p_75
485,26.860031,20.007492,63.253857,5.64274,25.289406,22.79158,30.211376
486,28.312883,20.013603,46.697765,6.3980656,26.645512,23.014572,33.61427
487,27.810402,20.035316,65.26619,5.8900366,27.006367,23.2631,31.2631
488,26.744904,20.042114,50.253857,5.268807,24.67648,23.117455,29.316833
490,23.833023,20.210556,36.697765,3.2507014,23.366913,21.986547,24.79158
497,29.78355,23.977844,49.747765,7.2913136,27.747765,25.454788,30.715555
501,26.660887,20.19983,64.84631,8.03315,22.084557,20.736565,30.94126
503,21.422686,21.039032,22.023605,0.52701914,21.205421,21.122227,21.614513
513,27.042358,20.649979,45.039036,7.620665,22.536652,21.82692,32.042118
514,25.32063,20.40049,30.240768,6.958128,25.32063,22.86056,27.780699
516,25.548935,20.185326,47.144333,5.509369,24.22763,22.049757,26.423107
518,29.947092,20.002678,63.846313,6.803286,28.852394,24.317719,34.457245
519,28.675013,20.196983,61.770836,7.3051133,26.845997,22.430504,34.662525
522,26.434042,20.209488,36.846313,4.9277368,26.475956,21.655775,28.481712
524,27.956161,20.282143,44.561085,5.7148323,26.416185,23.395647,31.535524
526,26.246826,20.089516,51.846313,5.280191,25.210304,22.055756,29.27243
528,27.569582,20.003654,52.3811,5.54328,26.714867,23.104607,30.844822
529,27.200327,20.0111,52.697765,5.6532044,25.491173,23.159874,30.074547
530,25.11861,20.108444,43.30729,5.6830716,21.763107,21.51915,29.028662
531,28.10546,20.016518,51.401012,6.0083675,26.253857,23.013662,31.852394
533,26.634588,20.042114,50.258003,5.472627,25.181427,21.460964,29.882446
534,27.509342,20.042114,53.846313,5.28671,26.877281,23.05041,30.375826
536,24.67141,20.40049,34.260628,6.437805,22.01226,21.609318,25.074352
538,29.474073,20.012253,54.279705,11.539907,24.623665,21.401543,35.64598
539,24.554317,20.084435,44.213123,5.493367,22.785599,20.808517,25.829208
540,27.416584,20.001778,54.028927,5.1865063,26.52612,22.995014,30.863094
542,26.165611,20.036125,61.69777,6.1699424,24.88739,22.222534,27.437439
543,30.267761,20.039032,58.364433,13.812956,23.035599,20.61475,35.114433
544,25.86054,20.00032,61.69777,5.1360145,24.532646,22.131386,28.13139
545,33.160072,21.451202,58.69777,17.91564,21.831245,21.546213,45.731136
546,25.97681,20.135025,50.27661,6.960705,24.182243,21.798927,26.698143
