i,j,A_ji_c_Car
136,1,14.032260543138909
137,1,14.330449539108315
138,1,16.64088491508196
139,1,17.04958656774152
143,1,17.4921657276359
144,1,19.574184036214508
145,1,19.104007723233227
146,1,19.41436905831024
147,1,20.070207448698348
148,1,19.659064731557528
149,1,16.930371510998203
150,1,20.178347023739665
151,1,17.494321752569245
153,1,11.126526223065852
154,1,14.241682819802191
157,1,13.637722544292442
158,1,14.516062607355002
159,1,16.33834281824454
160,1,15.184409223677633
162,1,16.612456576753328
163,1,14.704550028430322
164,1,13.299143957339389
165,1,14.89489758399789
166,1,15.293923824757961
168,1,16.459719586702548
169,1,17.13095563163545
170,1,19.585257875990887
172,1,14.967308206923192
173,1,19.31245214458243
174,1,10.133327544533312
175,1,10.152011635135015
176,1,10.201367879711688
177,1,10.512744672586646
180,1,12.466298372958999
181,1,9.547080287181352
182,1,8.238594233122678
183,1,7.565759831278708
185,1,11.170325862895357
186,1,12.080775562166517
187,1,10.007274793029751
188,1,11.637481935123239
189,1,12.39449919040749
190,1,9.935137107474057
194,1,11.876482851211016
195,1,12.496778997682314
196,1,8.278376984975718
197,1,10.94320129382995
198,1,14.851781365257466
199,1,16.3653244284608
200,1,15.003766595946638
202,1,12.882756540495615
203,1,16.420717157772458
204,1,15.761068495639671
205,1,15.482799804215333
206,1,11.89848001109323
207,1,12.720431020623687
208,1,14.508431247845197
209,1,13.123474012038054
212,1,9.79927614144973
213,1,11.523832182371718
214,1,12.99417607512876
215,1,9.918593480177625
221,1,11.457386738756707
222,1,8.517088848616565
223,1,12.659772702732642
224,1,12.528243212579646
225,1,9.200197570647438
226,1,5.70133620775042
227,1,11.933698578041835
230,1,12.355784045410543
231,1,7.200194060916646
232,1,9.060452113764724
233,1,8.094776843246384
234,1,12.321393271904547
235,1,6.124828542306701
236,1,7.1745774745172595
237,1,16.382186129718505
238,1,11.669732183055611
240,1,13.043307986015577
241,1,13.431680197735703
242,1,12.830731631651224
243,1,14.6822423450686
244,1,14.117089558553207
245,1,13.910129056292766
246,1,12.859534752153431
247,1,11.962346216400583
248,1,11.98992017397264
249,1,12.620717804350063
250,1,16.398573516980466
251,1,15.937139988075291
252,1,12.364687612305916
253,1,9.473199351240362
254,1,7.8036518375441934
256,1,10.718516110681836
257,1,8.802156781368756
258,1,9.816002556736779
259,1,8.815949979450174
260,1,11.132988963253613
261,1,11.700883463689745
262,1,8.89501713440839
263,1,11.59720817722456
264,1,13.710314686841958
265,1,10.646893327556295
267,1,9.260415242032991
269,1,13.024543535996006
270,1,9.765472935867294
271,1,8.987812871373716
272,1,7.122691921806332
275,1,6.789515589006977
276,1,5.007612072554767
277,1,5.0895875120277125
284,1,6.695626338211927
287,1,9.619298550584983
288,1,10.224864999953008
289,1,8.28843312311893
290,1,10.567370930952825
291,1,9.37838466994844
292,1,11.269758512034999
293,1,9.819697776049468
294,1,11.19922256751677
298,1,11.906668417302248
299,1,9.833497663939236
300,1,11.936716946581994
301,1,10.145419793957412
302,1,11.147905149581838
304,1,9.279850167022945
306,1,9.458037614958215
307,1,13.141942323706028
308,1,8.631267122193181
310,1,9.844881975401828
314,1,11.424926189389895
315,1,8.849390559599243
316,1,12.012909702020561
318,1,6.73708846495227
321,1,6.764769748342093
322,1,10.778822110110688
328,1,6.803798473054048
330,1,8.499508031636601
332,1,4.661903759219109
333,1,4.442041634994548
334,1,6.143402090306016
335,1,7.508302824026749
336,1,8.209921530976976
337,1,7.104618169996035
339,1,12.591296320010288
340,1,12.960726196842506
341,1,15.211888742924238
342,1,11.749188548458518
343,1,12.683793705357596
344,1,12.17299892978676
345,1,11.541738357220105
346,1,12.772645868027112
347,1,10.387717550202321
348,1,14.551816693039214
349,1,9.043457083327665
350,1,10.176318606305715
352,1,9.235842648397075
353,1,9.691412882430447
354,1,6.202475240866679
355,1,9.79083175089333
356,1,7.652468754676024
358,1,4.789548892392481
359,1,4.341720917022764
360,1,12.312746690217045
361,1,10.135396706198618
362,1,10.720272894372755
363,1,11.578501008454355
365,1,9.525265003465236
366,1,9.535543492474032
367,1,8.169464240667834
368,1,8.651712105413624
369,1,5.831376174540084
370,1,4.306485900210395
373,1,8.50419532289337
374,1,7.163592208874533
375,1,7.07139262930756
376,1,4.886217466613666
377,1,9.433960187548085
378,1,8.615136870732512
379,1,5.188083573641203
380,1,6.7874156455488714
381,1,6.56773835426044
382,1,7.041863376955876
383,1,7.335642741717421
384,1,5.1092391027785355
385,1,5.410235747573033
386,1,4.275627705507747
387,1,14.475365811486627
389,1,9.72123212095531
390,1,8.631872709688334
392,1,16.55182763045193
394,1,16.38399989608148
395,1,15.225684925259412
396,1,15.261008886686453
397,1,15.143907025911547
398,1,13.736056175323636
399,1,16.998936299437695
400,1,13.934387621141372
401,1,14.558478504084366
402,1,14.446347107825623
403,1,17.02519926946893
404,1,16.960270083081745
405,1,14.49046433867779
406,1,13.596653800069985
407,1,12.512702932065972
408,1,13.64525643944239
409,1,11.09390775101347
410,1,11.553512034065623
413,1,12.628244578381802
414,1,10.43795010975731
415,1,10.420695354583804
417,1,12.542123545572489
418,1,12.637231118615311
419,1,11.720377721555137
420,1,13.628171262891925
421,1,10.595561899230876
422,1,10.867932200829333
423,1,8.916412202501782
424,1,9.066650066814358
425,1,10.035958605210181
426,1,10.816946985678364
