i,j,A_ji_c_PT
625,1,44.76218150016032
627,1,44.4490875136313
628,1,44.48313708552618
630,1,43.75690268863437
631,1,43.2837695409819
632,1,43.677937753324514
634,1,43.25122530173844
638,1,39.53296592981012
640,1,43.19993729838628
641,1,37.77720255565232
642,1,38.50771111443805
644,1,43.99871619528743
645,1,40.38845883125633
646,1,39.42012978416714
647,1,39.58150649709432
650,1,38.35668868376193
651,1,40.007331868765405
652,1,38.7646650976026
653,1,38.7782439128493
654,1,36.906990710638695
655,1,37.810322440541846
657,1,36.13085915186456
658,1,37.105189534425186
661,1,36.28932180972186
662,1,35.852814742148254
664,1,35.76291380371565
665,1,35.208807016646126
666,1,34.62272372635386
667,1,34.605024255193314
668,1,33.935013663572484
669,1,33.870867530960965
670,1,32.74706722656236
672,1,37.94213075529228
673,1,35.40571875819464
677,1,43.21081235086684
678,1,31.6914230017336
682,1,39.67918001464887
683,1,38.99747698002731
685,1,34.607199255369814
687,1,34.78887489231608
688,1,34.562328957069596
689,1,34.21777521245458
691,1,37.248625042882765
694,1,44.58413240729817
697,1,41.864817753816155
699,1,41.691116823348864
700,1,41.319318783086956
701,1,40.30000205998934
702,1,43.57236298712276
703,1,43.76934277137658
705,1,41.705353268206444
706,1,42.08352208331394
707,1,41.70668793029693
708,1,41.96973905116708
709,1,41.648289176225106
710,1,41.43399417327355
711,1,41.354925636194864
712,1,40.93965679601001
713,1,40.975527262669324
714,1,40.62366622168571
715,1,40.85279635011204
716,1,42.54039266676989
717,1,42.65615261773509
718,1,43.43420428943222
719,1,42.71929282766613
720,1,43.56800048758679
723,1,41.89774286318126
724,1,42.79505989460747
725,1,41.06265081147593
726,1,40.55717698600699
727,1,41.40885523733752
728,1,41.03531039755679
729,1,41.81681478929107
730,1,40.89318811110493
