,Z_Rejon,Do_Rejon,L_Podrozy,Przez_POI,Czas_PrT,Czas_PuT
7025,10.0,14.0,0.06498111521164465,17.0,120.4155805629312,393.248209468232
7026,10.0,14.0,0.06498111521164465,18.0,143.41150596290336,639.2223875949629
7027,10.0,14.0,0.06498111521164465,19.0,133.4094688096804,341.07731283708387
7028,10.0,14.0,0.06498111521164465,20.0,169.41872530738547,1198.8720182921993
7029,10.0,14.0,0.06498111521164465,21.0,228.9473971577234,675.1899732497282
7030,10.0,14.0,0.06498111521164465,22.0,189.46866649970622,600.5306646563338
7031,10.0,14.0,0.06498111521164465,23.0,234.38885632386356,1050.1602531736016
7032,10.0,14.0,0.06498111521164465,24.0,352.9295451504047,1204.0026661318454
7033,10.0,14.0,0.06498111521164465,25.0,209.51806705474098,1455.3961825867996
7034,10.0,14.0,0.06498111521164465,26.0,176.79761908699444,972.2938897628276
7035,10.0,14.0,0.06498111521164465,27.0,105.9985430448654,702.6314276761325
7036,10.0,14.0,0.06498111521164465,28.0,248.00466270253273,407.31211580093725
7037,10.0,14.0,0.06498111521164465,29.0,158.24185233666645,999999.0
7038,10.0,14.0,0.06498111521164465,30.0,218.7588706004728,578.8242777951576
7039,10.0,14.0,0.06498111521164465,31.0,161.3607494143726,833.4175305810879
7040,10.0,14.0,0.06498111521164465,32.0,321.9111376067325,546.6464618464719
7041,10.0,15.0,10.291667691598859,1.0,384.605203373443,873.5592620998351
7042,10.0,15.0,10.291667691598859,2.0,143.98138597808062,860.4786568986214
7043,10.0,15.0,10.291667691598859,3.0,487.6321583419113,899.4839119647629
7044,10.0,15.0,10.291667691598859,4.0,334.16150131267136,1054.9342909642976
7045,10.0,15.0,10.291667691598859,5.0,255.58261730728069,809.5010158203347
7046,10.0,15.0,10.291667691598859,6.0,778.1295384131158,1958.6684668059538
7047,10.0,15.0,10.291667691598859,7.0,827.3249005622781,999999.0
7048,10.0,15.0,10.291667691598859,8.0,253.6563379005311,905.1032152625229
7049,10.0,15.0,10.291667691598859,9.0,127.2129929944999,530.8735968594248
7050,10.0,15.0,10.291667691598859,10.0,129.33014516626005,891.1046199508932
7051,10.0,15.0,10.291667691598859,11.0,184.68411143828786,552.3475170196714
7052,10.0,15.0,10.291667691598859,12.0,158.55028767910102,496.3931460959777
7053,10.0,15.0,10.291667691598859,13.0,162.52466951925595,179.21322516769544
7054,10.0,15.0,10.291667691598859,14.0,263.89748375808006,597.0394493363781
7055,10.0,15.0,10.291667691598859,15.0,168.66760950573513,552.3886814897662
7056,10.0,15.0,10.291667691598859,16.0,451.7807842222265,573.4605653312531
7057,10.0,15.0,10.291667691598859,17.0,119.21663474287398,392.709209468232
