,Z_Rejon,POI,Czas_PrT,Czas_PuT
124,4.0,28.0,306.9657993799243,1602.7960579004687
125,4.0,29.0,219.28927718079507,999999.0
126,4.0,30.0,322.44648948668635,764.1971388975788
127,4.0,31.0,295.135364014688,803.1097652905439
128,4.0,32.0,276.4395219682658,659.724230923236
129,5.0,1.0,525.3438987201584,2314.8086310499175
130,5.0,2.0,240.5200903706758,1681.3588284493107
131,5.0,3.0,459.1562102972749,2469.0129559823813
132,5.0,4.0,604.7717113957158,2656.423645482149
133,5.0,5.0,165.63781109176858,1271.2775079101673
134,5.0,6.0,760.527945265032,3700.982733402977
135,5.0,7.0,798.7261092073593,999999.0
136,5.0,8.0,330.262125297418,2069.2811076312614
137,5.0,9.0,326.85375857675183,1783.8007984297124
138,5.0,10.0,390.1151977227678,1963.9163099754464
139,5.0,11.0,403.50909734824586,2062.202758509836
140,5.0,12.0,425.91363575348066,2034.2255730479887
141,5.0,13.0,295.4581905194023,1819.3711125838477
142,5.0,14.0,329.0881195994324,1764.703224668189
143,5.0,15.0,433.1746290140028,2062.223340744883
144,5.0,16.0,532.7154300359288,2252.7592826656264
145,5.0,17.0,300.7383146731702,1926.119104734116
146,5.0,18.0,249.13215301687964,1572.5101937974814
147,5.0,19.0,174.31792237322492,1423.437656418542
148,5.0,20.0,242.45432479089158,1804.2415091460998
149,5.0,21.0,535.0607005587465,2858.0009866248643
150,5.0,22.0,556.0857405136677,2425.9603323281667
151,5.0,23.0,302.0630663511057,1945.5731265868008
152,5.0,24.0,285.13760756512846,1470.5463330659227
153,5.0,25.0,145.23283471751864,1323.2750912933998
154,5.0,26.0,69.4166639159163,861.2869448814138
155,5.0,27.0,63.101324852302156,726.4557138380662
156,5.0,28.0,136.35434699874924,578.7960579004687
157,5.0,29.0,319.070319927626,999999.0
158,5.0,30.0,440.7143865275875,2266.197138897579
159,5.0,31.0,413.40326105558916,2305.109765290544
160,5.0,32.0,394.707419009167,2161.724230923236
161,6.0,1.0,326.9524956206063,2233.8086310499175
162,6.0,2.0,281.3685977716032,1555.3588284493107
163,6.0,3.0,447.1272442177083,563.0129559823815
164,6.0,4.0,430.0060130391455,2575.423645482149
165,6.0,5.0,372.30161303680467,1220.2775079101673
166,6.0,6.0,562.1365421654798,3150.982733402977
167,6.0,7.0,655.1729311818256,999999.0
168,6.0,8.0,279.55100010902464,1628.2811076312614
169,6.0,9.0,173.93326712917673,940.8007984297124
170,6.0,10.0,202.49103246546002,1120.9163099754464
171,6.0,11.0,267.2500946202846,1537.2027585098358
172,6.0,12.0,242.57101752969837,1509.2255730479887
173,6.0,13.0,151.14819629248615,346.3711125838477
174,6.0,14.0,229.836661120251,921.703224668189
175,6.0,15.0,280.8922924458734,1537.223340744883
176,6.0,16.0,334.3240269363766,2171.7592826656264
177,6.0,17.0,138.16983513145752,453.11910473411604
178,6.0,18.0,236.9693851737226,1446.5101937974814
179,6.0,19.0,299.7680096973134,1297.437656418542
180,6.0,20.0,383.7034873501337,1938.2415091460998
181,6.0,21.0,336.6692974591943,2308.0009866248643
182,6.0,22.0,357.69433741411547,2344.9603323281667
183,6.0,23.0,334.94399130532145,913.5731265868009
184,6.0,24.0,428.8239193855422,1419.5463330659227
185,6.0,25.0,369.35410283719955,2707.2750912934
186,6.0,26.0,403.9804114108442,2385.2869448814135
187,6.0,27.0,369.48114956680536,2250.455713838066
188,6.0,28.0,404.8334364810149,2102.7960579004684
189,6.0,29.0,300.63218945894096,999999.0
190,6.0,30.0,144.6680120497212,403.19713889757884
191,6.0,31.0,129.08029741816625,531.1097652905439
192,6.0,32.0,160.30537504001046,387.72423092323595
193,7.0,1.0,323.15467221647873,930.8086310499175
194,7.0,2.0,444.1127870339266,1896.3588284493107
195,7.0,3.0,609.8714334800318,2750.0129559823813
196,7.0,4.0,437.4770858394263,1962.423645482149
197,7.0,5.0,535.045802299128,2099.2775079101675
198,7.0,6.0,413.0105583719637,1095.982733402977
199,7.0,7.0,662.6440039821064,999999.0
200,7.0,8.0,442.295189371348,1737.2811076312614
201,7.0,9.0,319.32048452522264,1468.8007984297124
202,7.0,10.0,347.878249861506,1648.9163099754464
203,7.0,11.0,412.6373120163305,862.2027585098357
204,7.0,12.0,387.9582349257444,834.2255730479889
205,7.0,13.0,313.8923855548096,1898.3711125838477
206,7.0,14.0,392.5808503825744,1830.703224668189
207,7.0,15.0,288.36336524615416,862.2233407448831
208,7.0,16.0,341.79509973665733,692.7592826656265
209,7.0,17.0,300.91402439378095,2005.119104734116
210,7.0,18.0,399.713574436046,1787.5101937974814
211,7.0,19.0,462.5121989596368,1638.437656418542
212,7.0,20.0,546.447676612457,2115.2415091461
213,7.0,21.0,220.93008074440237,651.000986624864
214,7.0,22.0,365.1654102143963,1731.960332328167
215,7.0,23.0,497.68818056764485,2176.5731265868008
216,7.0,24.0,591.5681086478656,2298.5463330659227
217,7.0,25.0,532.098292099523,2705.2750912934
218,7.0,26.0,566.7246006731676,2383.2869448814135
219,7.0,27.0,532.2253388291288,2248.455713838066
220,7.0,28.0,567.5776257433383,2100.7960579004684
221,7.0,29.0,533.5055274156223,999999.0
222,7.0,30.0,405.06717269035875,2547.197138897579
223,7.0,31.0,377.7560472183604,2586.109765290544
224,7.0,32.0,359.0602051719382,2442.724230923236
225,8.0,1.0,311.7642029440775,967.8086310499175
226,8.0,2.0,408.3483608867328,1582.3588284493107
227,8.0,3.0,587.2120680032222,2427.0129559823813
228,8.0,4.0,224.40500171201367,805.4236454821488
229,8.0,5.0,512.3864368223185,1785.2775079101673
230,8.0,6.0,546.948249488951,2574.982733402977
231,8.0,7.0,578.7573631344867,999999.0
232,8.0,8.0,385.62439428010765,1244.2811076312614
233,8.0,9.0,296.66111904841307,1154.8007984297124
234,8.0,10.0,325.21888438469637,1334.9163099754464
235,8.0,11.0,389.9779465395209,899.2027585098357
236,8.0,12.0,365.2988694489348,871.2255730479889
237,8.0,13.0,291.23302007800004,1328.3711125838477
238,8.0,14.0,369.9214849057649,1239.703224668189
239,8.0,15.0,265.7039997693446,899.2233407448831
240,8.0,16.0,257.90845888903766,729.7592826656265
241,8.0,17.0,278.25465891697144,1435.119104734116
242,8.0,18.0,377.05420895923646,1473.5101937974814
243,8.0,19.0,405.84140386839647,1324.437656418542
244,8.0,20.0,469.5057359224836,1801.2415091460998
245,8.0,21.0,273.82670115407154,1335.000986624864
246,8.0,22.0,131.67795309073088,574.9603323281669
247,8.0,23.0,475.02881509083534,1862.5731265868008
248,8.0,24.0,568.9087431710561,1984.5463330659227
249,8.0,25.0,509.43892662271344,2391.2750912934
250,8.0,26.0,544.0652351963581,2069.2869448814135
251,8.0,27.0,509.56597335231925,1934.4557138380662
252,8.0,28.0,544.9182602665288,1786.7960579004687
253,8.0,29.0,510.8461619388127,999999.0
254,8.0,30.0,382.4078072135492,2224.197138897579
255,8.0,31.0,355.0966817415508,2529.109765290544
256,8.0,32.0,336.40083969512864,2385.724230923236
257,9.0,1.0,374.0802722166102,2005.8086310499175
258,9.0,2.0,393.25040081168777,2787.3588284493107
259,9.0,3.0,649.528137275755,3825.0129559823813
260,9.0,4.0,338.4924849167616,2347.423645482149
261,9.0,5.0,565.1605766341233,2990.2775079101675
262,9.0,6.0,609.2643187614838,2922.982733402977
263,9.0,7.0,343.5940481414522,999999.0
264,9.0,8.0,370.5264342050626,2628.2811076312614
265,9.0,9.0,358.97718832094574,2359.8007984297124
266,9.0,10.0,379.015767761141,2539.9163099754464
267,9.0,11.0,391.0391647755869,1753.2027585098358
268,9.0,12.0,413.44370318082173,1725.2255730479887
269,9.0,13.0,353.54908935053277,2789.3711125838477
270,9.0,14.0,379.1424119699175,2721.7032246681893
271,9.0,15.0,308.80863669885787,1753.223340744883
272,9.0,16.0,320.2245281615704,1943.7592826656264
273,9.0,17.0,340.5707281895041,2896.119104734116
274,9.0,18.0,429.8283487710414,2678.5101937974814
275,9.0,19.0,390.74344379335145,2529.437656418542
276,9.0,20.0,416.3778974063332,3006.2415091461
277,9.0,21.0,348.49060623063764,2080.0009866248643
278,9.0,22.0,343.5948386393093,2116.9603323281667
279,9.0,23.0,537.344884363368,3067.5731265868008
280,9.0,24.0,621.682882982861,3189.5463330659227
281,9.0,25.0,562.2130664345184,3596.2750912934
282,9.0,26.0,566.0297994108247,3274.2869448814135
283,9.0,27.0,517.5800556778543,3139.455713838066
284,9.0,28.0,547.6161773827364,2991.7960579004684
285,9.0,29.0,573.1622312113454,999999.0
286,9.0,30.0,444.72387648608196,3622.197138897579
287,9.0,31.0,417.4127510140836,3661.109765290544
288,9.0,32.0,398.7169089676614,3517.724230923236
289,10.0,1.0,410.50069981756826,889.8086310499175
290,10.0,2.0,268.1947131611275,1793.3588284493107
291,10.0,3.0,559.9890559122016,2734.0129559823813
292,10.0,4.0,382.0403115243798,1910.423645482149
293,10.0,5.0,440.10488898356317,1996.2775079101673
294,10.0,6.0,645.6847463624417,1806.982733402977
295,10.0,7.0,575.9947093360233,999999.0
296,10.0,8.0,245.4707465545023,1455.2811076312614
297,10.0,9.0,262.837788982777,1243.8007984297124
298,10.0,10.0,269.3412107953359,1423.9163099754464
299,10.0,11.0,281.3646078097819,637.2027585098357
300,10.0,12.0,303.7691462150166,609.2255730479889
301,10.0,13.0,264.01000798697936,1539.3711125838477
302,10.0,14.0,254.08672431935713,1450.703224668189
303,10.0,15.0,210.44322914266684,637.2233407448831
304,10.0,16.0,363.7723547691886,827.7592826656265
305,10.0,17.0,269.2901321407473,1646.119104734116
306,10.0,18.0,304.7726611204811,1684.5101937974814
307,10.0,19.0,265.68775614279105,1535.437656418542
308,10.0,20.0,273.04909724823295,2012.2415091460998
309,10.0,21.0,392.03843283825586,964.000986624864
310,10.0,22.0,387.14266524692755,1679.960332328167
311,10.0,23.0,433.1488732378268,2073.5731265868008
312,10.0,24.0,496.6271953323007,2195.5463330659227
313,10.0,25.0,437.15737878395805,2602.2750912934
314,10.0,26.0,440.97411176026424,2280.2869448814135
315,10.0,27.0,392.5243680272938,2145.455713838066
316,10.0,28.0,422.56048973217594,1997.7960579004687
317,10.0,29.0,521.6474525965637,999999.0
318,10.0,30.0,409.2662039951646,2531.197138897579
319,10.0,31.0,381.9550785231662,2570.109765290544
320,10.0,32.0,363.25923647674404,2426.724230923236
321,11.0,1.0,440.7186361594256,2198.8086310499175
322,11.0,2.0,372.41710965801565,2980.3588284493107
323,11.0,3.0,664.2114524090898,4018.0129559823813
324,11.0,4.0,405.130848859577,2540.423645482149
325,11.0,5.0,544.3272854804512,3183.2775079101675
326,11.0,6.0,675.9026827042992,3115.982733402977
327,11.0,7.0,630.2977670022572,999999.0
328,11.0,8.0,349.6931430513905,2821.2811076312614
329,11.0,9.0,367.0601854796652,2552.8007984297124
330,11.0,10.0,373.5636072922241,2732.9163099754464
331,11.0,11.0,385.58700430667005,1946.2027585098358
332,11.0,12.0,407.99154271190486,1918.2255730479887
333,11.0,13.0,368.2324044838676,2982.3711125838477
334,11.0,14.0,358.30912081624535,2914.7032246681893
335,11.0,15.0,314.665625639555,1946.223340744883
336,11.0,16.0,386.86289210438576,2136.7592826656264
337,11.0,17.0,373.51252863763546,3089.119104734116
338,11.0,18.0,408.9950576173693,2871.5101937974814
339,11.0,19.0,369.9101526396793,2722.437656418542
340,11.0,20.0,377.2714937451212,3199.2415091461
341,11.0,21.0,415.12897017345307,2273.0009866248643
342,11.0,22.0,410.2332025821247,2309.9603323281667
343,11.0,23.0,537.3712697347149,3260.5731265868008
344,11.0,24.0,600.8495918291889,3382.5463330659227
345,11.0,25.0,541.3797752808462,3789.2750912934
346,11.0,26.0,545.1965082571526,3467.2869448814135
347,11.0,27.0,496.74676452418214,3332.455713838066
348,11.0,28.0,526.7828862290643,3184.7960579004684
349,11.0,29.0,625.8698490934519,999999.0
350,11.0,30.0,511.36224042889734,3815.197138897579
351,11.0,31.0,484.05111495689897,3854.109765290544
352,11.0,32.0,465.3552729104768,3710.724230923236
353,12.0,1.0,498.997572083201,1178.8086310499175
354,12.0,2.0,356.69158542676024,1960.3588284493107
355,12.0,3.0,648.4859281778342,2591.0129559823813
356,12.0,4.0,470.5371837900126,2386.423645482149
357,12.0,5.0,469.8530111958455,2163.2775079101675
358,12.0,6.0,734.1816186280746,2095.982733402977
359,12.0,7.0,664.4915816016562,999999.0
360,12.0,8.0,333.9676188201351,1801.2811076312614
361,12.0,9.0,351.3346612484098,1532.8007984297124
362,12.0,10.0,357.83808306096864,1712.9163099754464
363,12.0,11.0,369.86148007541465,926.2027585098357
364,12.0,12.0,392.26601848064945,898.2255730479889
365,12.0,13.0,352.5068802526121,1962.3711125838477
366,12.0,14.0,342.58359658498995,1894.703224668189
367,12.0,15.0,298.9401014082996,926.2233407448831
368,12.0,16.0,452.2692270348213,1116.7592826656264
369,12.0,17.0,357.78700440638,2069.119104734116
370,12.0,18.0,371.37058877895447,1851.5101937974814
371,12.0,19.0,289.17495026443424,1702.437656418542
372,12.0,20.0,231.51318560054875,2179.2415091461
373,12.0,21.0,480.5353051038887,1253.000986624864
374,12.0,22.0,475.6395375125603,2155.9603323281667
375,12.0,23.0,490.77130595683093,2240.5731265868008
376,12.0,24.0,547.8215937027563,2362.5463330659227
377,12.0,25.0,488.3517771544137,2769.2750912934
378,12.0,26.0,448.66223064675387,2447.2869448814135
379,12.0,27.0,400.21248691378344,2312.455713838066
380,12.0,28.0,430.2486086186655,2164.7960579004684
381,12.0,29.0,579.2698853155678,999999.0
382,12.0,30.0,497.76307626079733,2388.197138897579
383,12.0,31.0,470.45195078879897,2834.109765290544
384,12.0,32.0,451.7561087423768,2690.724230923236
385,13.0,1.0,493.3566935226693,996.8086310499175
386,13.0,2.0,351.0507068662285,1778.3588284493107
387,13.0,3.0,642.8450496173025,2409.0129559823813
388,13.0,4.0,461.4918935907163,2204.423645482149
389,13.0,5.0,464.21213263531376,1981.2775079101673
390,13.0,6.0,728.5407400675429,1913.982733402977
391,13.0,7.0,658.8507030411245,999999.0
392,13.0,8.0,328.32674025960335,1619.2811076312614
393,13.0,9.0,345.69378268787807,1350.8007984297124
394,13.0,10.0,352.1972045004369,1530.9163099754464
395,13.0,11.0,364.2206015148829,744.2027585098357
396,13.0,12.0,386.6251399201177,716.2255730479889
397,13.0,13.0,346.8660016920804,1780.3711125838477
398,13.0,14.0,336.9427180244582,1712.703224668189
399,13.0,15.0,293.29922284776785,744.2233407448831
400,13.0,16.0,443.2239368355251,934.7592826656265
