,POI,Do_Rejon,Czas_PrT,Czas_PuT
75,83084.0,8.0,1175.286215871372,2937.071473103764
76,83085.0,8.0,240.0908582463378,1367.6807067808065
77,83086.0,8.0,130.99043740963475,1024.1866237922984
78,83087.0,8.0,1398.0675346512346,1644.5215308063569
79,83088.0,8.0,406.08205173938575,1381.5357051685291
80,83089.0,8.0,711.1635630192085,1178.4250043142445
81,83090.0,8.0,1236.1470741616522,1793.0422859966322
82,83081.0,9.0,1168.9791891749016,2513.0850614585947
83,83082.0,9.0,119.55954187984476,3304.1229131622367
84,83083.0,9.0,1128.7643636620815,1848.0840376475314
85,83084.0,9.0,1179.6569884448795,2545.071473103764
86,83085.0,9.0,240.0908582463378,2033.6807067808065
87,83086.0,9.0,130.99043740963475,1259.1866237922984
88,83087.0,9.0,1394.9591511719227,2706.5215308063566
89,83088.0,9.0,380.77220767471454,858.5357051685293
90,83089.0,9.0,708.0551795398966,1827.4250043142445
91,83090.0,9.0,1216.7252500684533,2154.042285996632
92,83081.0,10.0,1433.5528580960838,2873.0850614585947
93,83082.0,10.0,119.55954187984476,3746.1229131622367
94,83083.0,10.0,990.8799135260201,2114.084037647531
95,83084.0,10.0,1043.146343688844,3328.071473103764
96,83085.0,10.0,240.0908582463378,1333.6807067808065
97,83086.0,10.0,130.99043740963475,823.1866237922985
98,83087.0,10.0,1673.1196090567544,2602.5215308063566
99,83088.0,10.0,194.01938314340794,438.53570516852926
100,83089.0,10.0,986.2156374247282,2088.4250043142442
101,83090.0,10.0,855.4698029220756,2167.042285996632
102,83081.0,11.0,1432.1805632111852,2573.0850614585947
103,83082.0,11.0,119.55954187984476,3424.1229131622367
104,83083.0,11.0,1090.1714148712192,1908.0840376475314
105,83084.0,11.0,1228.288914333624,2484.071473103764
106,83085.0,11.0,240.0908582463378,1996.6807067808065
107,83086.0,11.0,130.99043740963475,1139.1866237922984
108,83087.0,11.0,1658.1605252082063,2482.5215308063566
109,83088.0,11.0,204.65933117311704,678.5357051685293
110,83089.0,11.0,971.2565535761802,1887.4250043142445
111,83090.0,11.0,1040.6123735668557,2118.042285996632
112,83081.0,12.0,1399.4206287371112,2021.0850614585945
113,83082.0,12.0,119.55954187984476,3331.1229131622367
114,83083.0,12.0,1002.5919113803234,1954.0840376475314
115,83084.0,12.0,1140.709410842728,2933.071473103764
116,83085.0,12.0,240.0908582463378,1667.6807067808065
117,83086.0,12.0,130.99043740963475,1324.1866237922984
118,83087.0,12.0,1625.4005907341325,2482.5215308063566
119,83088.0,12.0,159.07034425673325,438.53570516852926
120,83089.0,12.0,938.496619102107,1478.4250043142445
121,83090.0,12.0,953.0328700759596,1998.0422859966322
122,83081.0,13.0,1429.0688481316104,2873.0850614585947
123,83082.0,13.0,119.55954187984476,3746.1229131622367
124,83083.0,13.0,1000.1942867858397,2114.084037647531
125,83084.0,13.0,1127.1236012907304,3328.071473103764
126,83085.0,13.0,240.0908582463378,1333.6807067808065
127,83086.0,13.0,130.99043740963475,801.1866237922985
128,83087.0,13.0,1655.0488101286319,2602.5215308063566
129,83088.0,13.0,205.493307381776,438.53570516852926
130,83089.0,13.0,968.1448384966058,2088.4250043142442
131,83090.0,13.0,939.4470605239621,2126.042285996632
132,83081.0,14.0,1373.5989128885074,1837.0850614585945
133,83082.0,14.0,119.55954187984476,3724.1229131622367
134,83083.0,14.0,944.3862041557956,1725.0840376475314
135,83084.0,14.0,1134.662452063926,3173.071473103764
136,83085.0,14.0,240.0908582463378,1797.6807067808065
137,83086.0,14.0,130.99043740963475,801.1866237922985
138,83087.0,14.0,1599.5788748855289,2722.5215308063566
139,83088.0,14.0,242.81926923090998,438.53570516852926
140,83089.0,14.0,912.6749032535024,1290.4250043142445
141,83090.0,14.0,946.9859112971578,2126.042285996632
142,83081.0,15.0,1377.103822645374,1897.0850614585945
143,83082.0,15.0,119.55954187984476,3406.1229131622367
144,83083.0,15.0,959.1982341180175,1754.0840376475314
145,83084.0,15.0,1149.4744820261478,2457.071473103764
146,83085.0,15.0,240.0908582463378,1543.6807067808065
147,83086.0,15.0,130.99043740963475,921.1866237922985
148,83087.0,15.0,1603.0837846423956,2302.5215308063566
149,83088.0,15.0,293.6184282282647,762.5357051685293
150,83089.0,15.0,916.1798130103695,1354.4250043142445
151,83090.0,15.0,961.7979412593797,2246.042285996632
152,83081.0,16.0,1347.072400178069,1897.0850614585945
153,83082.0,16.0,119.55954187984476,3406.1229131622367
154,83083.0,16.0,978.0074868795873,1754.0840376475314
155,83084.0,16.0,1188.222635300951,2457.071473103764
156,83085.0,16.0,240.0908582463378,2116.6807067808063
157,83086.0,16.0,130.99043740963475,1308.1866237922984
158,83087.0,16.0,1573.0523621750906,2362.5215308063566
159,83088.0,16.0,305.76207310985205,798.5357051685293
160,83089.0,16.0,886.148390543064,1354.4250043142445
161,83090.0,16.0,1000.5460945341827,2347.042285996632
162,83081.0,17.0,1369.8748708132307,2727.0850614585947
163,83082.0,17.0,119.55954187984476,3424.1229131622367
164,83083.0,17.0,1005.4107726770512,2094.084037647531
165,83084.0,17.0,1355.2977678333084,2545.071473103764
166,83085.0,17.0,240.0908582463378,1580.6807067808065
